isUserConfirmedClaim,hudFmr,statusType,listingType,availabilityDate,isBuilding,pgapt,price,badgeInfo,communityName,state,has3DModel,priceLabel,minArea,canSaveBuilding,area,plid,unitCount,isNewYorkState,zipcode,isPropertyResultCDP,isCdpResult,isHomeRec,CashOnCash,info1String,style,detailUrl,beds,homeType,brokerName,isFavorite,city,hasImage,"hasAdditionalAttributions",sgapt,homeStatus,countyName,hasVideo,address,minBeds,zpid,isUserClaimingOwner,lotId,info3String,buildingId,baths,lotAreaString,statusText,visited,streetViewURL,variableData,isFeaturedListing,imgSrc,minBaths,streetViewMetadataURL
false,854,FOR_SALE,,,,ForSale,50000,,,CT,false,"$50K",,,800,,,,06235,,,false,44.088,,,"https://www.zillow.com/homedetails/34-Halls-Pond-Rd-Chaplin-CT-06235/58109285_zpid/",1,SINGLE_FAMILY,,false,Chaplin,true,false,"For Sale by Agent",FOR_SALE,"Windham County",false,--,,58109285,false,,,,2,,"House for sale",false,,,false,"https://photos.zillowstatic.com/fp/d1d2813270f3ffd4055541c8dc548b6b-p_e.jpg",,
false,705,FOR_SALE,,,,ForSale,42500,,,AL,false,"$42K",,,925,,,,36420,,,false,41.7275294117647,,,"https://www.zillow.com/homedetails/417-Montgomery-St-Andalusia-AL-36420/126371769_zpid/",2,SINGLE_FAMILY,,false,Andalusia,true,false,"For Sale by Agent",FOR_SALE,"Covington County",false,--,,126371769,false,,,,1,,"House for sale",false,,,false,"https://photos.zillowstatic.com/fp/87ef0aca829589824d546039a4e1bbc6-p_e.jpg",,
false,1031,FOR_SALE,,,,ForSale,40000,,,AR,false,"$40K",,,1250,,,,72958,,,false,85.82400000000001,,,"https://www.zillow.com/homedetails/8316-W-Highway-28-Waldron-AR-72958/2062507075_zpid/",3,SINGLE_FAMILY,,false,Waldron,true,false,"For Sale by Agent",FOR_SALE,"Sebastian County",false,--,,2062507075,false,,,,2,,"House for sale",false,,,false,"https://photos.zillowstatic.com/fp/545591edd1b6f965279dddcdaa6b64e5-p_e.jpg",,
false,1031,FOR_SALE,,,,ForSale,50000,,,AR,false,"$50K",,,1891,,,,72901,,,false,61.08,,,"https://www.zillow.com/homedetails/1022-N-15th-St-Fort-Smith-AR-72901/74542480_zpid/",3,SINGLE_FAMILY,,false,"Fort Smith",true,false,"For Sale by Agent",FOR_SALE,"Sebastian County",false,--,,74542480,false,,,,2,,"House for sale",false,,,false,"https://photos.zillowstatic.com/fp/ede593ae4c07f8dff78056072f0e23d3-p_e.jpg",,
false,1031,FOR_SALE,,,,ForSale,62999,,,AR,false,"$63K",,,1196,,,,72927,,,false,40.65762783536246,,,"https://www.zillow.com/homedetails/57-Ione-St-Booneville-AR-72927/109069597_zpid/",3,SINGLE_FAMILY,,false,Booneville,true,false,"For Sale by Agent",FOR_SALE,"Sebastian County",false,--,,109069597,false,,,,1,,"House for sale",false,,,false,"https://photos.zillowstatic.com/fp/1f2df139ea1d790062acdd6a29fdde6f-p_e.jpg",,
false,649,FOR_SALE,,,,ForSale,29000,,,AR,false,"$29K",,,780,,,,72455,,,false,69.52468965517242,,,"https://www.zillow.com/homedetails/1505-Carter-St-Pocahontas-AR-72455/232068761_zpid/",2,SINGLE_FAMILY,,false,Pocahontas,true,false,"For Sale by Agent",FOR_SALE,"Randolph County",false,--,,232068761,false,,,,1,,"House for sale",false,,,false,"https://photos.zillowstatic.com/fp/1cc25b3b491269253dd39321c2d63ce9-p_e.jpg",,
false,894,FOR_SALE,,,,ForSale,39900,,,AR,false,"$40K",,,1198,,,,72842,,,false,69.65287218045113,,,"https://www.zillow.com/homedetails/10254-Greenville-Rd-Havana-AR-72842/109133095_zpid/",3,SINGLE_FAMILY,,false,Havana,true,false,"For Sale by Agent",FOR_SALE,"Logan County",false,--,,109133095,false,,,,1,,"House for sale",false,,,false,"https://photos.zillowstatic.com/fp/cb425b18dac7068b68f9b463680142cc-p_e.jpg",,
false,1182,FOR_SALE,,,,ForSale,69900,,,AL,false,"$70K",,,2191,,,,36904,,,false,43.27138197424893,,,"https://www.zillow.com/homedetails/402-Zara-St-Butler-AL-36904/194373147_zpid/",4,SINGLE_FAMILY,,false,Butler,true,false,"For Sale by Agent",FOR_SALE,"Choctaw County",false,--,,194373147,false,,,,2,,"House for sale",false,,,false,"https://photos.zillowstatic.com/fp/9773606c2713ba4b25c399586007b7d2-p_e.jpg",,
false,1280,FOR_SALE,,,,ForSale,40000,,,CT,false,"$40K",,,1024,,,,06704,,,false,115.70400000000001,,,"https://www.zillow.com/homedetails/23-Ives-St-Waterbury-CT-06704/58014214_zpid/",2,SINGLE_FAMILY,,false,Waterbury,true,false,"For Sale by Agent",FOR_SALE,"Litchfield County",false,--,,58014214,false,,,,1,,"House for sale",false,,,false,"https://photos.zillowstatic.com/fp/4276edc7898b631c44944ad045997f4a-p_e.jpg",,
false,1280,FOR_SALE,,,,ForSale,69900,,,CT,false,"$70K",,,924,,,,06098,,,false,50.000995708154505,,,"https://www.zillow.com/homedetails/55-Bank-St-Winsted-CT-06098/57835787_zpid/",2,SINGLE_FAMILY,,false,Winsted,true,false,Foreclosure,FOR_SALE,"Litchfield County",false,--,,57835787,false,,,,1,,Foreclosure,false,,,false,"https://photos.zillowstatic.com/fp/b3437363bd790932a4b1ec67bbf6bfd8-p_e.jpg",,
false,2226,FOR_SALE,,,,ForSale,93800,,,CO,false,"$94K",,,1440,,,,80835,,,false,76.01444776119403,"MLS ID #7177869",,"https://www.zillow.com/homedetails/511-Buffalo-St-Simla-CO-80835/227118697_zpid/",3,SINGLE_FAMILY,"THE RESOURCE GROUP LLC",false,Simla,true,true,"For Sale by Agent",FOR_SALE,"Elbert County",false,--,,227118697,false,,"https://photos.zillowstatic.com/fp/8dd1dd7033ea7ca8cc1a403da3dafc72-zillow_web_inf_14.jpg",,2,,"House for sale",false,,,false,"https://photos.zillowstatic.com/fp/e544006146de64d241e9bd880b15236a-p_e.jpg",,
false,649,FOR_SALE,,,,ForSale,20500,,,AR,false,"$20K",,,800,,,,72560,,,false,114.0649756097561,,,"https://www.zillow.com/homedetails/763-Herpel-Rd-Mountain-View-AR-72560/118058594_zpid/",2,SINGLE_FAMILY,,false,"Mountain View",true,false,"For Sale by Agent",FOR_SALE,"Stone County",false,--,,118058594,false,,,,1,,"House for sale",false,,,false,"https://photos.zillowstatic.com/fp/23c7a1d97d28290329b5938f89c41c6d-p_e.jpg",,
